Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),positive,net sale increase eur193 3 eur179 9 pretax profit rise 342  eur43 1  eur1  usd1 4 ,2
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive,net sale surge 185  eur167 8 teleste say eur20 4  122   sale come acquisition make 2009 ,2
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive,nordea group operate profit increase 2010 18 percent yearonyear 364 billion euro total revenue 3 percent 933 billion euro ,2
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,operate profit ninemonth period increase eur13 6  net sale increase eur394 7  compare correspond period 2005 ,2
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive,operate profit threemonth period increase eur1 2  revenue increase eur20 2  compare correspond period 2005 ,2
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive,company net profit rise 114  year 822 million euro 2005 sale 6865 million euro  138  year  company say earlier ,2
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",positive,lithuanian beer market make 1441 million liter january  rise 08 percent yearearlier figure  lithuanian brewer  association report cite result member ,2
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive,viking line cargo revenue increase 54  eur 2146 mn  cargo volume increase 24  70116 cargo unit ,2
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",positive,fair value property portfolio double result kapiteeli acquisition total eur 26862 12597 million ,2
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,positive,10 february 2011  finnish medium company sanoma oyj hel  saa1v say yesterday 2010 net profit almost triple eur297 3 eur107 1 2009 announce proposal raise payout ,2
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",positive,helsinki  eliiv today report eps eur1 13 2009  increase eps eur1 12 2008 ,2
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive,commission income increase 22  eur 44 mn  lend volume rise 135  ,2
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",positive,january  traffic  measure revenue passenger kilometre rpk  go 32  capacity  measure available seat kilometre ask  rise 122  ,2
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",positive,januaryseptember 2010  fiskars  net profit go 14  yearonyear eur 654 million net sale eur 5253 million eur 4877 million ,2
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",positive,net income life insurance rise eur 165 mn eur 140 mn  net income nonlife insurance eur 226 mn eur 152 mn 2009 ,2
Sales have risen in other export markets .,positive,sale rise export market ,2
Sales increased due to growing market rates and increased operations .,positive,sale increase due grow market rate increase operation ,2
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,positive,agreement strengthen longterm partnership nokia siemens network ,2
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",positive,company order book stand 15 bln euro  22 bln september 30  2007  242 pct year  international order amount 365 mln euro  5343 mln ,2
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",positive,company say paper demand increase main market  include publication paper  increase average paper price 4 percent compare last year ,2
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,world second largest stainless steel maker say net profit threemonth period dec 31 surge euro603 million u 781 million  euro3 33 u 431 per share  euro172 million  euro0 94 per share  previous year ,2
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",positive,share standard charter  stan  rise 12  ftse 100  royal bank scotland  rb  share rise 2  barclays share  barc   bcs  17  ,2
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,positive,share nokia corp rise thursday cell phone maker say thirdquarter earn almost double share global handset market increase ,2
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",positive,financial report  publish friday  seb say net profit soar sek6 745 bn 2010 yearearlier sek1 114 bn propose 50  dividend increase sek1 50 per share ,2
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",neutral,request finnish medium company alma medium newspaper  research manager jari kaivooja finland future research centre turku school economics ha draw future scenario finland national economy use model develop university denver ,1
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,neutral,stock exchange announcement 20 july 2006 1  1  basware share subscription warrant increase share capital total 119 850 share subscribe basware warrant program ,1
"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",neutral,maximum 666104 new share subscribe exercise b option 2004 stock option plan ,1
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,neutral,tiimari operate 194 store six country  include core finnish market  generate turnover 765 mln eur 2005 ,1
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,positive,acquisition considerably increase kemira sale market position russian metal industry coat market ,2
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",positive,januaryseptember 2007  finnlines  net sale rise eur 5054 mn eur 4735 mn correspond period 2006 ,2
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive,adjust change group structure  division net sale increase 17  ,2
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",positive,4 february 2011  finnish broadband data communication system provider teleste oyj hel  tlt1v saw net profit jump eur2 1 last quarter 2010 eur995 000 period 2009 ,2
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,positive,finnish aktia group operate profit rise eur 175 mn first quarter 2010 eur 82 mn first quarter 2009 ,2
Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,positive,finnish bank àland consolidate net operate profit increase eur 48 mn first quarter 2005 eur 64 mn first quarter 2006 ,2
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",positive,finnish financial group aktia report operate profit eur 444 mn januaryseptember 2009  eur 373 mn correspond period 2008 ,2
"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",positive,finnish high technology provider vaahto group report net sale eur 418 mn account period september 2007  february 2008  increase 112  year earlier ,2
Net sales of Finnish food industry company L+ñnnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,positive,net sale finnish food industry company lñnnen tehtaat continue operation increase 13  2008 eur 3491 mn eur 3096 mn 2007 ,2
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,positive,biohit already service many current genesis customer customer base expect expand result agreement ,2
"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",positive,operate profit turnover threemonth period increase  respectively eur0 9 eur8 3  compare correspond period 2005 ,2
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,circulation revenue ha increase 5  finland 4  sweden 2008 ,2
Clothing chain Sepp+ñl+ñ 's net sales increased by 7.0 % to EUR 30.8 mn .,positive,clothe chain seppñlñ net sale increase 70  eur 308 mn ,2
Construction volumes meanwhile grow at a rate of 10-15 percent annually .,positive,construction volume meanwhile grow rate 1015 percent annually ,2
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",positive,however  biohit estimate total net sale continue grow 2009  favourable trend net sale lead profit 2009 ,2
"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",positive,2009  fiskars  cash flow operate activity amount eur121m  eur97m previous year ,2
"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",positive,lithuania  operate profit rise eur 190000 eur 70000 correspond period 2005 ,2
"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",positive,fourth quarter 2008  net sale increase 2  eur 10507 mn eur 10270 mn fourth quarter 2007 ,2
"International sales rose by 59.8 % to EUR 1,244.4 mn .",positive,international sale rise 598  eur 12444 mn ,2
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,positive,net sale grow period  x20ac 402 million  585us million  x20ac 401 million 2006 ,2
Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,positive,net sale increase eur655m april june 2010 eur438m year earlier ,2
"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",positive,net sale rise 255  yearonyear eur59 6  number charger deliver go 41  659 million piece ,2
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,net sale total eur 936 mn  eur 932 mn correspond period 2005 ,2
Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,positive,operate profit increase 1451  eur 83 mn eur 34 mn ,2
Operating profit margin increased from 11.2 % to 11.7 % .,positive,operate profit margin increase 112  117  ,2
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,positive,operate profit rise eur 311 mn eur 122 mn correspond period 2009 ,2
Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,positive,operate profit rise eur 5mn eur 28 mn fourth quarter 2008 ,2
"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",positive,operate profit wa eur 245 mn  eur 230 mn ,2
"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",positive,ramirent net sale second quarterended june 30 euro 1287 million u  163 million  33percent increase compare euro 1246 million thesecond quarter last year ,2
"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",positive,revenue grow 2 percent  x20ac 580 million  743 million   x20ac 569 million ,2
"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",positive,ruukki delivery volume sell price show favourable development company comparable net sale grow 50  yearonyear eur647m  ceo sakari tamminen say ,2
"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",positive,company consolidate operate profit amount eur 1586 mn  eur 414 mn yearonyear ,2
The Department Store Division reported an increase in sales of 4 per cent .,positive,department store division report increase sale 4 per cent ,2
The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,positive,fair value company investment property grow eur 2803 billion end march 2009 eur 2691 million year ago ,2
"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % .",positive,last quarter wa best quarter 2009 net sale  operate margin rise 122  ,2
"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",positive,major brewery increase domestic beer sale 45 per cent last year  25688 million litre 24592 million litre 2004 ,2
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,positive, operate profit rise 269  eur 1058  834  million ,2
21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,positive,21 october 2010  finnish fish tackle company rapala vmc corp  hel  rap1v  say today net profit rise eur18 9 first nine month 2010 eur15 1 period year earlier ,2
"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",positive,accord finnish metso mineral  value company order ha go eur 19 bn 12 month ,2
Finnish Bank of +àland reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,positive,finnish bank àland report operate profit rise eur 213 mn second quarter 2009 eur 61 mn correspond period 2008 ,2
Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,positive,finnish financial group aktia operate profit 2009 increase eur 470 mn eur 66 mn 2008 ,2
Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,positive,finnish forest machinery manufacturer ponsse net sale grow eur 513 mn first quarter 2010 eur 375 mn correspond period 2009 ,2
Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .,positive,finnish kci konecranes ha raise net sale growth estimate 2006 25  35  ,2
"According to HKScan Finland , the plan is to increase J+ñrvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .",positive,accord hkscan finland  plan increase jñrvisuomen portti net sale eur 80mn eur 100mn ,2
"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .",positive,advertise circulation revenue grow 34  04   respectively ,2
"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",positive,end march 2007  group order book wa eur 396 mn  42  correspond period 2006 ,2
"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",positive,time profit company increase 10  h1 reach l 79000 ,2
"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .",positive,operate profit net sale 12month period increase  respectively eur10 5 eur28 8  compare financial year 2004 ,2
"Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 .",positive,operate profit net sale 12month period increase  respectively eur20 8 eur177 7  compare financial year 2004 ,2
"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",positive,operate profit net sale 12month period increase  respectively eur21 5 eur196 1  compare 2005 ,2
"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 .",positive,operate profit net sale 12month period increase  respectively eur4 7 eur26 7  compare 2004 ,2
"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",positive,operate profit net sale ninemonth period increase  respectively 266  34   compare correspond period 2006 ,2
"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",positive,operate profit net sale sixmonth period increase  respectively  eur13 8 eur143 6  compare correspond period 2007 ,2
"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .",positive,operate profit net sale sixmonth period increase  respectively eur0 4 eur3 2  compare correspond period 2005 ,2
"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .",positive,operate profit net sale sixmonth period increase  respectively eur18 1 eur127 6  compare correspond period 2006 ,2
"Both operating profit and net sales for the six-month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 .",positive,operate profit net sale sixmonth period increase  respectively eur7 5 eur655 5  compare correspond period 2005 ,2
"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .",positive,operate profit net sale threemonth period increase  respectively eur15 1 eur131 5  compare correspond period 2005 ,2
"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",positive,operate profit net sale threemonth period increase  respectively eur16 0 eur139m  compare correspond quarter 2006 ,2
"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .",positive,operate profit sale threemonth period increase  respectively eur0 3 eur13 1  compare correspond period 2005 ,2
"Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago .",positive,operate profit turnover ninemonth period increase  respectively eur2 4 eur43 8  compare correspond period year ago ,2
"Both operating profit and turnover for the six-month period increased , respectively , from EUR17 .6 m and EUR1149 .9 m , as compared to the corresponding period in 2007 .",positive,operate profit turnover sixmonth period increase  respectively  eur17 6 eur1149 9  compare correspond period 2007 ,2
"Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago .",positive,operate profit turnover sixmonth period increase  respectively eur0 1 eur29 0  compare correspond period year ago ,2
Cargo volume increased by approximately 5 % .,positive,cargo volume increase approximately 5  ,2
"comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004 .",positive,comparable operate profit total eur 854mn  eur 730mn 2004 ,2
"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .",positive,digia say consolidate net sale januaryjune 2010 eur67 8  97  period 2009  eur61 9  ,2
Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .,positive,dilute earn per share  eps  rise eur 029 eur 005 ,2
Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 .,positive,dilute earn per share  eps  rise eur 052 versus eur 009 ,2
Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64 .,positive,dilute earn per share  eps  rise eur 105 eur 064 ,2
Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR 0.50 .,positive,dilute earn per share  eps  rise eur 368 eur 050 ,2
Diluted EPS rose to EUR3 .68 from EUR0 .50 .,positive,dilute eps rise eur3 68 eur0 50 ,2
EBIT margin was up from 1.4 % to 5.1 % .,positive,ebit margin wa 14  51  ,2
"EPS from continuing operations came in at 0.30 eur , up from 0.17 .",positive,eps continue operation come 030 eur  017 ,2
"Equity ratio was 60.9 % compared to 54.2 % In the third quarter of 2007 , net sales of the Frozen Foods Business totaled EUR 11.0 , up by about 5 % from the third quarter of 2006 .",positive,equity ratio wa 609  compare 542  third quarter 2007  net sale freeze food business total eur 110  5  third quarter 2006 ,2
"EUR928 ,000 in Q1 2010 6 May 2010 - Finnish textile and clothing design company Marimekko Oyj ( HEL : MMO1V ) said today its net profit rose to EUR928 ,000 in the first quarter of 2010 from EUR13 ,000 in the corresponding period a year earlier .",positive,eur928 000 q1 2010 6 may 2010  finnish textile clothe design company marimekko oyj  hel  mmo1v  say today net profit rise eur928 000 first quarter 2010 eur13 000 correspond period year earlier ,2
"Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. .",positive,finlandbased elcoteq se  privately hold provider electronics manufacture service communication company  say thursday sign longterm manufacture supply deal communication equipment company andrew corp ,2
Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit rose to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier .,positive,finnish cutlery hand tool maker fiskars oyj abp  hel  fisa  say today net profit rise eur 241 million  usd 336  third quarter 2010 eur 179 million year earlier ,2
Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .,positive,finnish department store chain stockmann oyj abp net profit rise 398 mln euro   568 mln  first nine month 2007 374 mln euro   534 mln  period 2006 ,2
"Finnish lifting equipment maker Konecranes Oyj said on July 30 , 2008 that its net profit rose to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007 .",positive,finnish lift equipment maker konecranes oyj say july 30  2008 net profit rise 712 mln euro   1111 mln  first half 2008 571 mln euro   891 mln  period 2007 ,2
Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 .,positive,finnish metal industry solution supplier outotec oyj net profit rise 504 mln euro   725 mln  first nine month 2007 201 mln euro   289 mln  period 2006 ,2
Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 .,positive,finnish metal product company componenta oyj net profit rise 261 mln euro   359 mln  first quarter 2007 53 mln euro   73 mln  period 2006 ,2
Finnish office supplies and computer accessories dealer Beltton-Group Plc said its net profit rose to 1.3 mln euro ( $ 1.7 mln ) in 2006 from 1.13 mln euro ( $ 1.5 mln ) in 2005 .,positive,finnish office supply computer accessory dealer belttongroup plc say net profit rise 13 mln euro   17 mln  2006 113 mln euro   15 mln  2005 ,2
"Finnish security and privacy software solutions developer Stonesoft Oyj said on January 7 , 2008 that the preliminary sales of its StoneGate products grew by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007 .",positive,finnish security privacy software solution developer stonesoft oyj say january 7  2008 preliminary sale stonegate product grow 59 pct yearonyear 36 mln euro   53 mln  fourth quarter 2007 ,2
"Finnish silicon wafer technology company Okmetic Oyj ( OMX Helsinki : OKM1V ) reported on Thursday ( 7 August ) an operating profit of EUR5 .3 m for the period January-June 2008 , up from EUR3 .3 m in the corresponding period in 2007 .",positive,finnish silicon wafer technology company okmetic oyj  omx helsinki  okm1v  report thursday  7 august  operate profit eur5 3 period januaryjune 2008  eur3 3 correspond period 2007 ,2
Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 .,positive,finnish software developer solution oyj say net profit increase 35 mln euro   46 mln  2006 23 mln euro   30 mln  2005 ,2
First quarter underlying operating profit rose to 41 mln eur from 33 mln a year earlier .,positive,first quarter underlie operate profit rise 41 mln eur 33 mln year earlier ,2
"For the first nine months of 2010 , the company 's net profit rose to EUR41m from EUR30m for the corresponding period of 2009 .",positive,first nine month 2010  company net profit rise eur41m eur30m correspond period 2009 ,2
"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increase of 10.8 pct year-on-year .",positive,helsinki  afx   retail wholesale group kesko report net sale 6594 mln eur february  increase 108 pct yearonyear ,2
"However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 .",positive,however  net sale 2010 see grow eur598 3 eur582 3 2009 ,2
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",positive,however  sale return growth apriljune 2010  ceo pekka eloholma say ,2
"Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share .",positive,ragutis  control finnish brewery  report 54percent rise beer sale 1044 million litre hold 1109percent market share ,2
"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .",positive,svyturysutenos alus  control nordic group baltic beverage hold  bbh   post 47percent growth beer sale januarymay 4622 million litre ,2
